stamp,seq_tw,drone_position_x,drone_position_y,drone_position_z,drone_position_qx,drone_position_qy,drone_position_qz,drone_position_qw,yolo_label,yolo_xmin,yolo_xmax,yolo_ymin,yolo_ymax,yolo_confidence,object_global_position_2d_x,object_global_position_2d_y,object_global_position_2d_z
1628079685.341496,0,-0.000530,-0.000654,0.000868,-0.005921,-0.019263,0.000004,0.999797,soldier,289,330,161,271,0.988430,9.748033,0.107271,0.000000
1628079685.741449,1,-0.000355,-0.000603,0.001204,-0.005960,-0.019201,0.000061,0.999798,soldier,289,330,161,271,0.988406,9.748312,0.108479,0.000000
1628079685.808125,2,-0.000022,-0.000228,0.002068,-0.005997,-0.019121,0.000085,0.999799,soldier,289,330,161,270,0.987943,9.748789,0.109369,0.000000
1628079685.941447,3,-0.000698,-0.002331,0.001765,-0.006177,-0.018901,-0.000631,0.999802,soldier,289,330,161,271,0.986849,9.748657,0.093537,0.000000
1628079686.008119,4,-0.001327,-0.001001,0.001531,-0.006191,-0.019074,-0.000859,0.999799,soldier,289,330,161,271,0.988667,9.747748,0.090455,0.000000
1628079686.074790,5,-0.002052,-0.000186,0.001330,-0.006187,-0.019249,-0.000955,0.999795,soldier,289,330,161,271,0.988197,9.746717,0.089412,0.000000
1628079686.141553,6,-0.003708,0.001185,0.000913,-0.006226,-0.019300,-0.001076,0.999794,soldier,289,330,161,270,0.989074,9.744988,0.088480,0.000000
1628079686.208116,7,-0.004009,0.001500,0.000850,-0.006234,-0.019201,-0.001094,0.999796,soldier,289,330,161,270,0.987346,9.744872,0.088433,0.000000
1628079686.274781,8,-0.001601,-0.000044,0.001574,-0.006078,-0.019085,-0.001127,0.999799,soldier,289,330,161,271,0.988238,9.747499,0.086004,0.000000
1628079686.341447,9,-0.002017,0.000482,0.001366,-0.006090,-0.018953,-0.001207,0.999801,soldier,289,330,161,270,0.987959,9.747340,0.084974,0.000000
1628079686.408110,10,-0.002354,0.000795,0.001260,-0.006117,-0.019064,-0.001186,0.999799,soldier,289,330,160,272,0.988546,9.746794,0.085743,0.000000
1628079686.474785,11,-0.002711,0.001156,0.001147,-0.006120,-0.018999,-0.001252,0.999800,soldier,289,330,161,271,0.988482,9.746567,0.084824,0.000000
1628079686.541452,12,-0.003179,0.001559,0.000996,-0.006125,-0.019077,-0.001339,0.999798,soldier,289,330,161,270,0.986904,9.745969,0.083539,0.000000
1628079686.608115,13,-0.003612,0.001929,0.000866,-0.006132,-0.019141,-0.001418,0.999797,soldier,289,330,161,270,0.987634,9.745430,0.082375,0.000000
